question_id,architecture,architecture_label,case_key,in_qualitative_sample,sample_strata,displayed_correct,claim_correct,decision,confidence,threshold,llm_faithfulness,token_overlap,context_precision,context_recall,context_recall_numeric,verification_status,verification_score,n_evidence,gold_program_answer,gold_file_name,retrieved_files,primary_category,error_layer,tags,explanation,question_excerpt,displayed_answer_excerpt,draft_excerpt
finqa_test_1000,single_agent,Single-Agent,single_agent:finqa_test_1000,true,sa_incorrect_partial_evidence,0,0,ANSWER,,,0.0000,0.3714,0.2500,1.0000,0,,,4,0.4550999999999999,pdf/SNA/2013/page_34.pdf,pdf/SNA/2013/page_34.pdf | pdf/INTC/2013/page_31.pdf | pdf/GS/2013/page_220.pdf | pdf/MAS/2012/page_26.pdf,unsupported_claim,unsupported_emission,gold_number_absent_from_evidence;low_context_precision;low_llm_judge_faithfulness,"Single-Agent; decision=ANSWER; displayed_correct=0; claim_correct=0. Gold program_answer=0.4550999999999999; gold file=pdf/SNA/2013/page_34.pdf. Retrieved files (4 chunks, scores=[0.8717727661132812, 0.7975850105285645, 0.7922802567481995, 0.7861218452453613]): pdf/SNA/2013/page_34.pdf, pdf/INTC/2013/page_31.pdf, pdf/GS/2013/page_220.pdf, pdf/MAS/2012/page_26.pdf. context_recall=1.00 (gold file/context_id in top-k); context_precision=0.25; gold number in evidence=False. LLM-as-judge faithfulness (Qwen3-8B, custom/RAGAS-inspired)=0.0000 (not official RAGAS). Verification status=not recorded (Single-Agent has no verifier). Confidence=n/a; locked T=0.65. Category rule: ANSWER is numerically incorrect, the gold number is not in the evidence text, and LLM-as-judge faithfulness is below 0.5. Treated as unsupported emission (not called hallucination unless independent evidence showed fabrication). Question: What is the return on investment if $100 are invested in the S&P 500 at the end of 2008 and sold at the end of 2010, based on the cumulative total shareholder return data provided for Snap-on Incorporated's five-year st… Displayed answer: Evidence is insufficient. The question asks for the return on investment (ROI) for the S&P 500 based on Snap-on's data, but the evidence only provides Snap-on's cumulative returns and not the S&P 500's actual ROI figure…","What is the return on investment if $100 are invested in the S&P 500 at the end of 2008 and sold at the end of 2010, based on the cumulative total shareholder return data provided for Snap-on Incorporated's five-year st…","Evidence is insufficient. The question asks for the return on investment (ROI) for the S&P 500 based on Snap-on's data, but the evidence only provides Snap-on's cumulative returns and not the S&P 500's actual ROI figure…",
finqa_test_1000,multi_agent,Multi-Agent,multi_agent:finqa_test_1000,false,,0,0,ANSWER,0.175676,,0.0000,0.3514,0.2500,1.0000,0,WEAK_EVIDENCE,0.1757,4,0.4550999999999999,pdf/SNA/2013/page_34.pdf,pdf/SNA/2013/page_34.pdf | pdf/INTC/2013/page_31.pdf | pdf/GS/2013/page_220.pdf | pdf/MAS/2012/page_26.pdf,unsupported_claim,unsupported_emission,gold_number_absent_from_evidence;low_context_precision;verification_true_negative;low_llm_judge_faithfulness,,,,
finqa_test_1000,multi_agent_uq,Multi-Agent + UQ,multi_agent_uq:finqa_test_1000,false,,0,0,ABSTAIN,0.503192,0.65,0.0000,0.3889,0.2500,1.0000,0,WEAK_EVIDENCE,0.1944,4,0.4550999999999999,pdf/SNA/2013/page_34.pdf,pdf/SNA/2013/page_34.pdf | pdf/INTC/2013/page_31.pdf | pdf/GS/2013/page_220.pdf | pdf/MAS/2012/page_26.pdf,appropriate_abstention,abstention,gold_number_absent_from_evidence;low_context_precision;verification_true_negative;low_llm_judge_faithfulness,,,,
finqa_test_1012,single_agent,Single-Agent,single_agent:finqa_test_1012,false,,0,0,ANSWER,,,1.0000,0.6429,0.5000,1.0000,0,,,4,0.009708737864077542,pdf/NCLH/2018/page_97.pdf,pdf/NCLH/2018/page_97.pdf | pdf/NCLH/2018/page_64.pdf,incorrect_despite_partial_evidence,numeric_error,gold_number_absent_from_evidence;high_llm_judge_faithfulness,,,,
finqa_test_1012,multi_agent,Multi-Agent,multi_agent:finqa_test_1012,false,,0,0,ANSWER,0.796429,,1.0000,0.6429,0.5000,1.0000,0,VERIFIED,0.7964,4,0.009708737864077542,pdf/NCLH/2018/page_97.pdf,pdf/NCLH/2018/page_97.pdf | pdf/NCLH/2018/page_64.pdf,incorrect_despite_partial_evidence,numeric_error,gold_number_absent_from_evidence;false_confidence;verification_false_positive;high_llm_judge_faithfulness,,,,
finqa_test_1012,multi_agent_uq,Multi-Agent + UQ,multi_agent_uq:finqa_test_1012,false,,0,0,ANSWER,0.774272,0.65,1.0000,0.6429,0.5000,1.0000,0,VERIFIED,0.7964,4,0.009708737864077542,pdf/NCLH/2018/page_97.pdf,pdf/NCLH/2018/page_97.pdf | pdf/NCLH/2018/page_64.pdf,incorrect_despite_partial_evidence,numeric_error,gold_number_absent_from_evidence;false_confidence;verification_false_positive;high_llm_judge_faithfulness,,,,
finqa_test_1017,single_agent,Single-Agent,single_agent:finqa_test_1017,false,,1,1,ANSWER,,,0.0000,0.5333,0.7500,1.0000,0,,,4,0.0,pdf/PNC/2014/page_111.pdf,pdf/PNC/2014/page_111.pdf | pdf/ILMN/2008/page_86.pdf,correct_answer,numeric_correct,gold_number_absent_from_evidence;low_llm_judge_faithfulness,,,,
finqa_test_1017,multi_agent,Multi-Agent,multi_agent:finqa_test_1017,false,,1,1,ANSWER,0.494444,,0.0000,0.4889,0.7500,1.0000,0,WEAK_EVIDENCE,0.4944,4,0.0,pdf/PNC/2014/page_111.pdf,pdf/PNC/2014/page_111.pdf | pdf/ILMN/2008/page_86.pdf,correct_answer,numeric_correct,gold_number_absent_from_evidence;verification_false_negative;low_llm_judge_faithfulness,,,,
finqa_test_1017,multi_agent_uq,Multi-Agent + UQ,multi_agent_uq:finqa_test_1017,false,,1,1,ANSWER,0.740864,0.65,0.0000,0.4634,0.7500,1.0000,0,VERIFIED,0.7067,4,0.0,pdf/PNC/2014/page_111.pdf,pdf/PNC/2014/page_111.pdf | pdf/ILMN/2008/page_86.pdf,correct_answer,numeric_correct,gold_number_absent_from_evidence;verification_true_positive;low_llm_judge_faithfulness,,,,
finqa_test_1027,single_agent,Single-Agent,single_agent:finqa_test_1027,false,,1,1,ANSWER,,,1.0000,0.8889,0.5000,1.0000,0,,,4,0.86,pdf/SLB/2015/page_59.pdf,pdf/SLB/2015/page_59.pdf | pdf/SLB/2012/page_44.pdf,correct_answer,numeric_correct,gold_number_absent_from_evidence;high_llm_judge_faithfulness,,,,
